"data_id","work_type","work_price","company_area","company_id"
"156","地推/会展","2000","郑州","13005145"
"157","地推/会展","2600","郑州","13005145"
"158","地推/会展","1000","郑州","13005145"
"159","地推/会展","5000","郑州","13005145"
"160","地推/会展","5000","郑州","13005145"
"161","地推/会展","50","郑州","13005145"
"162","地推/会展","10000","郑州","17152304"
"163","地推/会展","58000","郑州","17152304"
"164","地推/会展","6000","郑州","17152304"
"165","地推/会展","68000","郑州","17152304"
"166","地推/会展","7200","郑州","17152304"
"167","地推/会展","10800","郑州","17152304"
"168","地推/会展","200","福州","18287710"
"169","地推/会展","9800","重庆","7925349"
"170","地推/会展","5888","重庆","7925349"
"171","地推/会展","80000","广州","2707192"
"172","地推/会展","1080","邢台","12299269"
"173","地推/会展","1000","广州","2707192"
"174","地推/会展","750","广州","2707192"
"175","地推/会展","5000","广州","2707192"
"176","地推/会展","5000","广州","2707192"
"177","特色营销服务","1600","邢台","697785"
"178","特色营销服务","2000","邢台","697785"
"179","特色营销服务","75000","上海","17988978"
"180","特色营销服务","600","深圳","14667185"
"181","特色营销服务","600","深圳","14667185"
"182","特色营销服务","600","深圳","14667185"
"183","特色营销服务","600","深圳","14667185"
"184","特色营销服务","600","深圳","14667185"
"185","特色营销服务","600","深圳","14667185"
"186","特色营销服务","14800","上海","17988978"
"187","特色营销服务","5000","上海","17988978"
"188","特色营销服务","28000","上海","17988978"
"189","特色营销服务","15000","上海","17988978"
"190","特色营销服务","15800","上海","17988978"
"191","特色营销服务","22000","上海","17988978"
"192","特色营销服务","18500","上海","17988978"
"193","特色营销服务","3000","邢台","697785"
"194","特色营销服务","1000","邢台","697785"
"195","特色营销服务","2000","邢台","697785"
"196","特色营销服务","500","邢台","697785"
"197","特色营销服务","5000","邢台","697785"
"198","特色营销服务","1000","邢台","697785"
"199","特色营销服务","2000","邢台","697785"
"200","特色营销服务","1000","邢台","697785"
"201","特色营销服务","866","邢台","697785"
"202","特色营销服务","1000","邢台","697785"
"203","地推/会展","5000","广州","2707192"
"204","地推/会展","800","广州","2707192"
"205","地推/会展","400","广州","2707192"
"206","地推/会展","700","广州","2707192"
"207","地推/会展","350","广州","2707192"
"208","地推/会展","1500","广州","2707192"
"209","地推/会展","2980","重庆","7925349"
"210","地推/会展","6800","重庆","7925349"
"211","地推/会展","599","重庆","7925349"
"212","地推/会展","3000","重庆","7925349"
"213","地推/会展","3000","重庆","7925349"
"214","地推/会展","25000","重庆","7925349"
"215","地推/会展","18000","重庆","7925349"
"216","地推/会展","28000","重庆","7925349"
"217","地推/会展","120","福州","18287710"
"218","地推/会展","200","福州","18287710"
